Team Name,Player 1,Player 2
PHI,"Joe, Isaiah","Harden, James"
MIA,"Adebayo, Bam","Lowry, Kyle"
BOS,"Pritchard, Payton","Nesmith, Aaron"
MIL,"Antetokounmpo, Giannis","Smart, Javonte"
TOR,"Flynn, Malachi","Siakam, Pascal"
CHI,"DeRozan, DeMar","Dotson, Devon"
ATL,"Young, Trae","Stephenson, Lance"
MEM,"Culver, Jarrett","Jones, Tyus"
GSW,"Curry, Stephen","Green, Draymond"
DAL,"Brunson, Jalen","Ntilikina, Frank"
UTA,"Mitchell, Donovan","Conley, Mike"
DEN,"Campazzo, Facundo","Hyland, Bones"
MIN,"Beasley, Malik","Nowell, Jaylen"
NOP,"Harper, Jared","Temple, Garrett"
